_id,time,txt
ObjectId("5d08a1078541638b5c24c0eb"),昨天 10:17,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月17日10时11分在河北唐山市滦州市（北纬39.81度，东经118.73度）发生2.0级地震，震源深度12千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0ec"),昨天 09:26,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BE%AE%E7%A7%91%E6%99%AE%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震微科普#</span></a>上周，我国共发生三级以上地震6次，其中3.0到3.9级6次，最大地震是6月11日在青海海西州德令哈市发生的3.7级地震。今年以来，我国共发生三级以上地震263次，其中3.0到3.9级195次，4.0到4.9级54次，5.0到5.9级12次，6.0级到6.9级2次，最大地震是4月18日在台湾花莲县海域发生的6.7级地震。 
ObjectId("5d08a1078541638b5c24c0ed"),15小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日00时29分在四川宜宾市长宁县（北纬28.39度，东经104.85度）发生4.1级地震，震源深度10千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0ee"),15小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日00时29分在四川宜宾市长宁县附近（北纬28.43度，东经104.84度）发生4.3级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0ef"),2小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日13时23分在四川宜宾市珙县（北纬28.41度，东经104.80度）发生3.3级地震，震源深度12千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0f0"),3小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日13时23分在四川宜宾市长宁县附近（北纬28.46度，东经104.80度）发生3.4级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0f1"),8小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日07时34分在四川宜宾市长宁县（北纬28.37度，东经104.89度）发生5.3级地震，震源深度17千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> <a href='/n/新华视点'>@新华视点</a> <a href='/n/人民日报'>@人民日报</a> <a href='/n/央视新闻'>@央视新闻</a> ） 
ObjectId("5d08a1078541638b5c24c0f2"),8小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日07时34分在四川宜宾市长宁县附近（北纬28.40度，东经104.88度）发生5.0级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> <a href='/n/新华视点'>@新华视点</a> <a href='/n/人民日报'>@人民日报</a> <a href='/n/央视新闻'>@央视新闻</a> ） 
ObjectId("5d08a1078541638b5c24c0f3"),14小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&extparam=%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#四川长宁6.0级地震#</span></a>截止6月18日0时55分，共记录到2.0级以上余震22次，其中5.0-5.9级1次，4.0-4.9级2次，3.0-3.9级3次，2.0-2.9级16次。 
ObjectId("5d08a1078541638b5c24c0f4"),14小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&extparam=%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#四川长宁6.0级地震#</span></a>这是稍早前网友发来的视频。遇到地震时，应该马上逃离建筑物或就近躲避，等安全后再拍照或录视频。 <a data-url="http://t.cn/AiNNl358" href="https://m.weibo.cn/p/index?containerid=2304444384344626638811&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class="surl-text">中国地震台网速报的微博视频</span></a> 
